Resource,RE_DAC_1,RE_DAC_2,RE_DAC_1,RE_DAC_2
Zone,1,2,1,2
CO2,CO2 gross,CO2 gross,CO2 net,CO2 net
x373,-118.28508049345992,-0.0,-118.28508049345992,0.0
x374,-118.28508049294618,-0.0,-118.28508049294618,0.0
x375,-118.28508049239755,-0.0,-118.28508049239755,0.0
x376,-118.28508049099979,-0.0,-118.28508049099979,0.0
x377,-118.28508048870586,-0.0,-118.28508048870586,0.0
x378,-118.28508048364563,-0.0,-118.28508048364563,0.0
x379,-118.28508045607157,-0.0,-118.28508045607157,0.0
x380,-11.008463610127802,-0.0,-11.008463610127802,0.0
x381,-118.28508043242378,-0.0,-118.28508043242378,0.0
x382,-118.28508048121459,-0.0,-118.28508048121459,0.0
x383,-118.28508048838926,-0.0,-118.28508048838926,0.0
x384,-118.28508049193016,-0.0,-118.28508049193016,0.0
x385,-118.28508049335552,-0.0,-118.28508049335552,0.0
x386,-118.28508049435544,-0.0,-118.28508049435544,0.0
x387,-118.28508049563726,-0.0,-118.28508049563726,0.0
x388,-118.28508049682391,-0.0,-118.28508049682391,0.0
x389,-118.28508049777915,-0.0,-118.28508049777915,0.0
x390,-118.28508049907602,-0.0,-118.28508049907602,0.0
x391,-118.28508050012691,-0.0,-118.28508050012691,0.0
x392,-118.28508050090281,-0.0,-118.28508050090281,0.0
x393,-118.28508050184544,-0.0,-118.28508050184544,0.0
x394,-118.28508050236948,-0.0,-118.28508050236948,0.0
x395,-118.28508050313616,-0.0,-118.28508050313616,0.0
x396,-118.28508050474109,-0.0,-118.28508050474109,0.0
x397,-118.2850805061727,-0.0,-118.2850805061727,0.0
x398,-118.28508050742339,-0.0,-118.28508050742339,0.0
x399,-118.28508050954974,-0.0,-118.28508050954974,0.0
x400,-118.28508051088338,-0.0,-118.28508051088338,0.0
x401,-118.28507979232756,-0.0,-118.28507979232756,0.0
x402,-118.28507883163297,-0.0,-118.28507883163297,0.0
x403,-118.2850788369549,-0.0,-118.2850788369549,0.0
x404,-118.2850788424485,-0.0,-118.2850788424485,0.0
x405,-118.28507884613602,-0.0,-118.28507884613602,0.0
x406,-118.28507884831754,-0.0,-118.28507884831754,0.0
x407,-118.28507884904334,-0.0,-118.28507884904334,0.0
x408,-118.28507884918673,-0.0,-118.28507884918673,0.0
x409,-118.28507884820237,-0.0,-118.28507884820237,0.0
x410,-118.28507884596497,-0.0,-118.28507884596497,0.0
x411,-118.28507884222317,-0.0,-118.28507884222317,0.0
x412,-118.28507883579843,-0.0,-118.28507883579843,0.0
x413,-118.28507882553214,-0.0,-118.28507882553214,0.0
x414,-118.28507880849003,-0.0,-118.28507880849003,0.0
x415,-118.28507868074621,-0.0,-118.28507868074621,0.0
x416,-11.008536175794797,-0.0,-11.008536175794797,0.0
x417,-118.28507870130726,-0.0,-118.28507870130726,0.0
x418,-118.28507879730611,-0.0,-118.28507879730611,0.0
x419,-118.28507881969654,-0.0,-118.28507881969654,0.0
x420,-118.28508021850718,-0.0,-118.28508021850718,0.0
x421,-118.28508022084662,-0.0,-118.28508022084662,0.0
x422,-118.28508022307726,-0.0,-118.28508022307726,0.0
x423,-118.28508022321707,-0.0,-118.28508022321707,0.0
x424,-118.28508022273715,-0.0,-118.28508022273715,0.0
x425,-118.28507980627353,-0.0,-118.28507980627353,0.0
x426,-118.28507883083581,-0.0,-118.28507883083581,0.0
x427,-11.828554140953623,-0.0,-11.828554140953623,0.0
x428,-118.28507882359551,-0.0,-118.28507882359551,0.0
x429,-118.28507894715224,-0.0,-118.28507894715224,0.0
x430,-118.28507980070538,-0.0,-118.28507980070538,0.0
x431,-118.28507980042706,-0.0,-118.28507980042706,0.0
x432,-118.28508048772409,-0.0,-118.28508048772409,0.0
x433,-118.28508051656516,-0.0,-118.28508051656516,0.0
x434,-118.28508051510475,-0.0,-118.28508051510475,0.0
x435,-118.28508051358078,-0.0,-118.28508051358078,0.0
x436,-118.28508051202269,-0.0,-118.28508051202269,0.0
x437,-118.28508051155056,-0.0,-118.28508051155056,0.0
x438,-118.28508051151435,-0.0,-118.28508051151435,0.0
x439,-118.28508049477544,-0.0,-118.28508049477544,0.0
x440,-118.28508048885158,-0.0,-118.28508048885158,0.0
x441,-11.828521062522737,-0.0,-11.828521062522737,0.0
x442,-118.28507977424998,-0.0,-118.28507977424998,0.0
x443,-118.28508050668718,-0.0,-118.28508050668718,0.0
x444,-118.28508050659725,-0.0,-118.28508050659725,0.0
x445,-118.2850805063433,-0.0,-118.2850805063433,0.0
x446,-118.2850805059354,-0.0,-118.2850805059354,0.0
x447,-118.28508050501796,-0.0,-118.28508050501796,0.0
x448,-118.28508050337024,-0.0,-118.28508050337024,0.0
x449,-118.28507888292144,-0.0,-118.28507888292144,0.0
x450,-118.28507875467047,-0.0,-118.28507875467047,0.0
